2024-05-31 13:01:48 WARNING  https://snamprodmp.ondemand.sas.com;SNM_PCT_USED=24;
2024-05-31 13:02:02 INFO     https://snamprodmp.ondemand.sas.com;GET_JOBS_NOTFOUND=0;Nessun Job presente del tipo selezionato in jobsubmittedByApplication
2024-05-31 13:02:03 INFO     https://snamprodukjob.ondemand.sas.com;GET_TOKEN_ELAPSED=169.699;
2024-05-31 13:02:16 ERROR    https://snamprodukjob.ondemand.sas.com;NUM_COMPUTE_PODS=151;
2024-05-31 13:02:19 INFO     https://snamprodukjob.ondemand.sas.com;SNM_PCT_USED=1;
2024-05-31 13:02:20 INFO     https://snamprodukjob.ondemand.sas.com;GET_JOBS_NOTFOUND=0;Nessun Job presente del tipo selezionato in jobsubmittedByApplication
2024-05-31 13:02:21 INFO     https://snamprodgerjob.ondemand.sas.com;GET_TOKEN_ELAPSED=46.772;
2024-05-31 13:02:34 ERROR    https://snamprodgerjob.ondemand.sas.com;NUM_COMPUTE_PODS=123;
2024-05-31 13:02:36 INFO     https://snamprodgerjob.ondemand.sas.com;SNM_PCT_USED=1;
2024-05-31 13:02:37 INFO     https://snamprodgerjob.ondemand.sas.com;GET_JOBS_NOTFOUND=0;Nessun Job presente del tipo selezionato in jobsubmittedByApplication
2024-05-31 14:01:40 INFO     https://snamtest.ondemand.sas.com;GET_TOKEN_ELAPSED=188.661;
2024-05-31 14:01:53 WARNING  https://snamtest.ondemand.sas.com;NUM_COMPUTE_PODS=41;
2024-05-31 14:01:56 INFO     https://snamtest.ondemand.sas.com;SNM_PCT_USED=1;
2024-05-31 14:01:57 INFO     https://snamtest.ondemand.sas.com;CHECK_JOBS_HOURLY=12;OK
2024-05-31 14:01:58 INFO     https://snamprodmp.ondemand.sas.com;GET_TOKEN_ELAPSED=41.733;
2024-05-31 14:02:18 INFO     https://snamprodmp.ondemand.sas.com;NUM_COMPUTE_PODS=1;
2024-05-31 14:02:20 WARNING  https://snamprodmp.ondemand.sas.com;SNM_PCT_USED=24;
2024-05-31 14:02:21 INFO     https://snamprodmp.ondemand.sas.com;GET_JOBS_NOTFOUND=0;Nessun Job presente del tipo selezionato in jobsubmittedByApplication
2024-05-31 14:02:22 INFO     https://snamprodukjob.ondemand.sas.com;GET_TOKEN_ELAPSED=109.05;
2024-05-31 14:02:36 ERROR    https://snamprodukjob.ondemand.sas.com;NUM_COMPUTE_PODS=152;
2024-05-31 14:02:38 INFO     https://snamprodukjob.ondemand.sas.com;SNM_PCT_USED=1;
2024-05-31 14:02:39 INFO     https://snamprodukjob.ondemand.sas.com;GET_JOBS_NOTFOUND=0;Nessun Job presente del tipo selezionato in jobsubmittedByApplication
2024-05-31 14:02:40 INFO     https://snamprodgerjob.ondemand.sas.com;GET_TOKEN_ELAPSED=141.666;
2024-05-31 14:02:53 ERROR    https://snamprodgerjob.ondemand.sas.com;NUM_COMPUTE_PODS=124;
2024-05-31 14:02:55 INFO     https://snamprodgerjob.ondemand.sas.com;SNM_PCT_USED=1;
2024-05-31 14:02:56 INFO     https://snamprodgerjob.ondemand.sas.com;GET_JOBS_NOTFOUND=0;Nessun Job presente del tipo selezionato in jobsubmittedByApplication
